"","IR","WPSFD49207","WPSFD4131","CPIAUCSL","CPILFESL","CIS1010000000000I","GDPCTPI","PCEPILFE","OPHNFB","NPPTTL","ICSA","CCSA","NPPMNF","UNRATE","AWHAETP","AMTMNO","DAUTOSA","TOTALSL","WHLSLRMPCIMSA","RRSFS","RSFSXMV","INDPRO","TCU","INVCMRMTSPL","ACDGNO","ADXTNO","USARGDPQDSNAQ","DPCERE1Q156NBEA","PI","PCE","UMCSENT","GACDISA066MSFRBNY","USSLIND","GAFDFSA066MSFRBPHI","CSCICP03USM665S"
"2010-10-28",0.288089506961968,1.2485367235486,-1.2801016235637,1.47124523939763,1.73508925817601,1.61513413102635,-1.51551424840189,-1.36609123853674,-1.53340639584239,-0.951225884917094,0.18161236092096,0.486314931865773,-1.27835733336964,1.07684360449921,0.63427887679709,-0.391643558330784,-0.70320931033819,-1.26125457595099,1.75189344767437,-0.414933082696385,0.668191829409911,1.12956694411271,-0.429378336292277,-0.928518460619951,-0.211888645052286,-0.702146507261639,-0.18239726587391,0.846924389635967,1.48322010230428,-1.12371236586964,-1.79795922222465,-0.288359731939799,0.151189993247444,-0.303439837327729,0.0298265834154045
"2010-10-29",0.287972535761644,1.24733899961308,-1.27883534945158,1.46950017600558,1.73248206321248,1.84928053694615,-1.45513397770986,-1.36462349269441,-1.5314804083246,-0.950546487450042,0.181542029972305,0.48608946921185,-1.27709492145163,1.07597166490388,0.633945367334105,-0.391474198830621,-0.702815241908945,-1.26002957222993,1.74922261445173,-0.414750727837618,0.667829418654732,1.12860307449711,-0.42918766838665,-0.927870138466144,-0.211805642155376,-0.701753427716223,-0.182326611410079,0.842296016620098,1.48144119309217,-1.12275904656327,-1.7951082257154,-0.288242634168447,0.151132017992611,-0.303315599750426,0.0298153919963878
"2010-10-30",0.28785570693499,1.24614471683261,-1.27757282658954,1.46776130878411,1.72988658816501,1.84622105046511,-1.45343497921081,-1.36316046867405,-1.52956166136712,-0.949868544014116,0.181471780671681,0.485864319899052,-1.27583624303599,1.07510184048476,0.633612383512546,-0.391305058875602,-0.702421835375298,-1.25880813181666,1.74656396173699,-0.414568613221746,0.667467597074078,1.12764166871973,-0.428997254290419,-0.927223172795015,-0.211722736729943,-0.701361007746066,-0.18225603899256,0.841756516843246,1.47966867057168,-1.12180815003488,-1.79227075111527,-0.288125678945338,0.151074109381585,-0.303191514659985,0.0298042131655337
"2010-10-31",0.287739020193402,1.2449538587598,-1.2763140364916,1.46602860115063,1.72730274548827,1.8431767015787,-1.45174191933482,-1.36170214121129,-1.52765010971487,-0.949192049429675,0.181401612861227,0.48563948320218,-1.27458127975515,1.07423412270312,0.633279923952911,-0.391136137991754,-0.702029088886159,-1.25759023746854,1.74391739722581,-0.414386738321665,0.667106363073086,1.12668271630083,-0.428807093440921,-0.926577558882355,-0.211639928585358,-0.700969245508408,-0.18218554846268,0.841218052657501,1.47790249661649,-1.12085966603886,-1.78944669187174,-0.288008865981473,0.15101626728678,-0.303067581744707,0.0297930468992612
"2010-11-01",0.287622475249091,1.24376640905709,-1.27505896079909,1.46430201682422,1.72473044854972,1.84014736586713,-1.45005476356483,-1.34112918251877,-1.52574570850784,-0.948516998542875,0.181331526383511,0.485414958398379,-1.27333001336783,1.07336850306844,0.632947987280764,-0.390967435706536,-0.839729257541085,-1.2563758720595,1.74128282959014,-0.414205102611888,0.66674571506293,1.12572620682297,-0.428617185277239,-0.92593329202696,-0.211557217531515,-0.700578139167686,-0.182115139662194,0.840680620753596,1.63159848336283,-1.10179633444937,-1.78663594260404,-0.28789219498867,0.150958491580952,-0.302943800693785,0.0297818931740509
"2010-11-02",0.287506071815086,1.24258235149584,-1.27380758127947,1.46258151982245,1.72216961161743,1.8371329203376,-1.44837347766398,-1.33972640074201,-1.52384841327655,-0.947843386225503,0.181261521081525,0.485190744767134,-1.27208242575788,1.07250497313804,0.632616572126708,-0.390798951548831,-0.839193963481152,-1.25516501857906,1.73866016846502,-0.414023705568543,0.666385651460793,1.12477212993055,-0.428427529240194,-0.925290367550486,-0.211474603378826,-0.700187686895502,-0.182044812433287,0.840144217837053,1.62936612412944,-1.10088447984395,-1.78383839908668,-0.287775665679564,0.150900782137198,-0.302820171197298,0.0297707519664453
"2010-11-03",0.287389809605228,1.24140166995538,-1.27255987982528,1.46086707445819,1.71962014984805,1.83413324340335,-1.44669802767271,-1.33832801258676,-1.52195817993778,-0.918345679963368,0.181191596798688,0.48496684159026,-1.25012363030304,1.07164352451671,0.632285677126362,-0.444294308415647,-0.838659692050876,-1.25395766013133,1.73604932443555,-0.41384254666936,0.666026170689839,1.12382047532931,-0.428238124772338,-0.924648780797303,-0.242565654382889,-0.79015008535832,-0.181974566618568,0.839608840628097,1.62714290466554,-1.09997488602736,-1.78105395823322,-0.287659277767605,0.150843138828954,-0.302696692946212,0.0297596232530481
"2010-11-04",0.287273688334168,1.24022434842209,-1.27131583845301,1.45915864533656,1.71708197927501,1.83114821486301,-1.44502837990589,-1.33693399516433,-1.27881137130326,-0.917713772034702,0.089494538892743,0.476865754937412,-1.24892790656839,1.07078414885637,0.631955300920337,-0.444095738288846,-0.838126439997938,-1.25275377993397,1.73345020902408,-0.413661625393667,0.665667271179182,1.12287123278586,-0.428048971317947,-0.924008527134358,-0.242469796811102,-0.789670981906157,-0.181904402061073,0.83907448586157,1.62492876277225,-1.09906754367216,-1.7782825180803,-0.287543030967052,0.150785561529993,-0.302573365632374,0.195455614259785
"2010-11-05",0.287157707717362,1.23905037098849,-1.27007543930197,1.45745619735181,1.71455501679691,1.82817771588044,-1.44336450094998,-1.33554432575264,-1.27755455121501,-0.917083167070634,0.0894608965676765,0.476647447111937,-1.24773560816647,1.01548482465623,0.631625442154214,-0.443897434203712,-0.837594204084482,-0.964222580306969,1.73086273467764,-0.413480941222388,0.665308951363857,1.12192439212727,-0.427860068323015,-0.923369601951032,-0.242374052798984,-0.789192749109027,-0.18183431860426,0.838541150286845,1.62272363684167,-1.09816244350468,-1.77552397777195,-0.287426924992973,0.150728050114428,-0.302450188948509,0.195379936770059
"2010-11-06",0.287041867471071,1.23787972185234,-1.26883866463331,1.45575969568432,1.7120391801661,1.82522162896478,-1.44170635766018,-1.33415898179461,-1.27630143034375,-0.916453860599059,0.0894272921543253,0.476429438879231,-1.24654671877345,1.0147160398198,0.63129609947852,-0.443699395566645,-0.837062981087033,-0.963529063015489,1.72828681475551,-0.413300493638031,0.664951209684792,1.12097994324056,-0.427671415235244,-0.922732000659,-0.242278422122483,-0.78871538433278,-0.181764316092008,0.838008830667751,1.62052746584972,-1.09725957630466,-1.77277823754418,-0.287310959561241,0.150670604456705,-0.302327162588217,0.195304347118933
"2010-11-07",0.286926167312356,1.23671238531575,-1.26760549682886,1.45406910579759,1.70953438797742,1.822279837951,-1.44005391715772,-1.33277794089668,-1.27505199057734,-0.915825848169335,0.0893937255815375,0.476211729554601,-1.24536122217417,1.01394899882946,0.630967271548702,-0.443501621785897,-0.836532767796415,-0.962837040382372,1.72572236351709,-0.413120282124683,0.664594044588781,1.12003787607225,-0.427483011504043,-0.922095718692095,-0.242182904558166,-0.788238884954406,-0.181694394368619,0.837477523782482,1.61834018934898,-1.09635893290484,-1.77004519870986,-0.28719513438853,0.150613224431605,-0.30220428624597,0.195228845136611
"2010-11-08",0.286810606959078,1.23554834578429,-1.26637591839013,1.45238439343529,1.70704055965714,1.81935222798069,-1.43840714682706,-1.33140118082726,-1.27380621392753,-0.915199125352145,0.0893601967783482,0.475994318455545,-1.24417910226127,1.01318369510185,0.630638957025108,-0.443304112271566,-0.836003561017669,-0.962146507045984,1.72316929610985,-0.412940306168006,0.66423745452845,1.11909818062794,-0.427294856580516,-0.921460751506169,-0.242087499883215,-0.787763248361982,-0.181624553278812,0.836947226423519,1.61616174746174,-1.09546050419056,-1.76732476364376,-0.287079449192313,0.150555909914245,-0.302081559617109,0.195153430653753
